종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,연도,자산,부채,자본,매출액,액면가
파라다이스,171265,34230,오락·문화,106,"호텔, 레스토랑, 레저",G253010,2018,3.15077E+12,1.52468E+12,1.62609E+12,7.87616E+11,19000
파라다이스,171265,34230,오락·문화,106,"호텔, 레스토랑, 레저",G253010,2019,3.47035E+12,1.86615E+12,1.6042E+12,9.79433E+11,19750
파라다이스,171265,34230,오락·문화,106,"호텔, 레스토랑, 레저",G253010,2020,3.31351E+12,1.87996E+12,1.43355E+12,4.53881E+11,15350
신라젠,919966,215600,연구·개발,98,생물공학,G352010,2016,2.84128E+11,76156431135,2.07971E+11,5292317531,13250
신라젠,919966,215600,연구·개발,98,생물공학,G352010,2017,2.34954E+11,33006947811,2.01947E+11,6864849467,95900
신라젠,919966,215600,연구·개발,98,생물공학,G352010,2018,1.93193E+11,28105298518,1.65088E+11,7712024811,74500
신라젠,919966,215600,연구·개발,98,생물공학,G352010,2019,69745029861,8752500668,60992529193,9068581313,14650
신라젠,919966,215600,연구·개발,98,생물공학,G352010,2020,47423224925,24543481731,22879743194,1669716316,0
에스에프에이,358271,56190,기계·장비,70,기계,G201060,2015,1.18937E+12,5.61566E+11,6.27808E+11,5.26064E+11,24725
에스에프에이,358271,56190,기계·장비,70,기계,G201060,2016,1.50526E+12,7.29634E+11,7.75626E+11,1.31975E+12,32900
에스에프에이,358271,56190,기계·장비,70,기계,G201060,2017,1.81081E+12,8.25954E+11,9.84855E+11,1.92038E+12,38750
에스에프에이,358271,56190,기계·장비,70,기계,G201060,2018,1.66053E+12,6.57544E+11,1.00299E+12,1.56006E+12,34600
에스에프에이,358271,56190,기계·장비,70,기계,G201060,2019,1.80591E+12,6.93842E+11,1.11207E+12,1.57775E+12,46250
에스에프에이,358271,56190,기계·장비,70,기계,G201060,2020,1.7994E+12,5.1989E+11,1.27951E+12,1.55117E+12,38900
바이오니아,326731,64550,제약,66,생물공학,G352010,2015,71985447610,37454009695,34531437915,20833715307,9143
바이오니아,326731,64550,제약,66,생물공학,G352010,2016,63709625226,37594721733,26114903493,21703614699,6862
바이오니아,326731,64550,제약,66,생물공학,G352010,2017,58695411475,31549597411,27145814064,23267735474,9250
바이오니아,326731,64550,제약,66,생물공학,G352010,2018,70807117625,31770192790,39036924835,24077825956,7450
바이오니아,326731,64550,제약,66,생물공학,G352010,2019,82099865831,50480710690,31619155141,36292396635,6920
바이오니아,326731,64550,제약,66,생물공학,G352010,2020,1.91166E+11,43206087156,1.4796E+11,2.06987E+11,18400
현대바이오,313649,48410,화학,65,화장품,G252065,2015,43413786519,18808811280,24604975239,40674617767,6140
현대바이오,313649,48410,화학,65,화장품,G252065,2016,53381060671,35166553697,18214506974,36101390151,5230
