종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2018_2,53396000.0,3408,"8,528,795,965,484","2,845,412,181,520","5,683,383,783,964","1,363,615,953,332","281,758,577,701",153217,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2018_3,71645000.0,3489,"9,914,242,793,452","4,038,266,047,126","5,875,976,746,326","1,397,713,834,674","68,386,763,908",143801,"32,962,679"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2018_4,74661500.0,3585,"9,881,190,909,324","3,932,050,396,031","5,949,140,513,293","5,586,904,533,355","627,901,873,332",121000,"164,813,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2019_1,35218000.0,3593,"10,896,141,416,540","4,847,641,693,637","6,048,499,722,903","1,510,861,770,282","87,585,903,290",124000,"164,813,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2019_2,55170000.0,3570,"11,436,575,803,347","5,167,000,852,015","6,269,574,951,332","1,630,275,004,395","27,756,852,975",114500,"164,813,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2019_3,75216500.0,3580,"11,806,716,744,718","5,369,199,936,746","6,437,516,807,972","1,664,815,000,078","85,268,053,088",155000,"164,813,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2019_4,81992500.0,3492,"12,299,527,120,786","5,795,601,052,206","6,503,926,068,580","6,593,400,065,244","396,821,062,465",187500,"164,813,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2020_1,39785500.0,3612,"13,766,033,857,041","6,310,797,316,027","7,455,236,541,014","1,732,064,462,097","134,874,581,865",163500,"164,263,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2020_2,60014000.0,3745,"14,675,445,319,033","6,717,594,049,563","7,957,851,269,470","1,902,467,957,491","90,682,203,810",268000,"164,263,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2020_3,79797000.0,3857,"15,452,559,797,909","8,040,822,582,917","7,411,737,214,992","1,360,779,374,259","235,342,965,699",297500,"164,263,395"
NAVER,266961,35420,서비스업,26.0,양방향미디어와서비스,G502050,2020_4,100011000.0,4076,"17,014,238,663,770","8,759,106,628,557","8,255,132,035,213","5,304,145,900,386","844,996,977,149",291500,"164,263,395"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2015_1,-,0,-,-,-,-,-,-,-
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2015_2,-,0,-,-,-,-,-,-,-
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2015_3,-,0,-,-,-,-,-,-,-
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2015_4,-,0,-,-,-,-,-,-,-
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2016_1,-,0,-,-,-,-,-,-,-
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2016_2,-,0,-,-,-,-,-,-,-
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2016_3,-,0,-,-,-,-,-,-,-
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2016_4,-,1532,-,-,-,-,-,151500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2017_1,-,1724,-,-,-,-,-,174500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2017_2,-,1735,-,-,-,-,-,295500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2017_3,-,2064,-,-,-,-,-,343000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2017_4,-,2119,-,-,-,-,-,367000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2018_1,-,2089,-,-,-,-,-,487000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2018_2,-,2107,-,-,-,-,-,420500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2018_3,-,2191,-,-,-,-,-,536000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2018_4,-,2318,-,-,-,-,-,389500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2019_1,-,2461,-,-,-,-,-,318500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2019_2,-,2488,-,-,-,-,-,320500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2019_3,-,2628,-,-,-,-,-,309500,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2019_4,-,2587,-,-,-,-,-,433000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2020_1,-,2688,"5,944,971,453,683","1,553,373,834,473","4,391,597,619,210","207,197,182,334","36,653,025,843",455000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2020_2,-,2717,"6,032,874,721,390","1,589,676,044,998","4,443,198,676,392","307,691,125,961","52,018,676,934",784000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2020_3,-,2884,"6,137,199,099,932","1,638,363,579,495","4,498,835,520,437","274,582,011,290","56,081,371,017",697000,"66,165,000"
삼성바이오로직스,877059,207940,의약품,9.0,제약,G352020,2020_4,-,2886,"6,424,201,164,962","1,825,417,992,598","4,598,783,172,364","1,164,776,873,641","240,974,799,963",819000,"66,165,000"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2015_1,48733822.5,2248,-,-,-,-,-,23483,"59,328,489"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2015_2,83945415.5,2265,-,-,-,-,-,25691,"59,907,555"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2015_3,105334256.0,2293,-,-,-,-,-,24748,"60,014,656"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2015_4,120362464.0,2474,"3,188,477,733,309","603,002,737,682","2,585,474,995,627","932,151,827,086","78,764,757,714",23583,"60,096,088"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2016_1,23115186.5,2572,"5,189,698,790,097","1,772,972,395,012","3,416,726,395,085","242,483,260,813","10,949,664,522",20151,"67,439,208"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2016_2,41274779.5,2627,"5,214,828,719,604","1,703,390,806,828","3,511,437,912,776","376,519,484,836","13,238,886,896",18686,"67,510,942"
카카오,258801,35720,서비스업,26.0,양방향미디어와서비스,G502050,2016_3,56575283.0,2738,"5,220,795,942,649","1,700,339,760,762","3,520,456,181,887",-,"13,625,904,398",16719,"67,525,112"
