종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_2,17500000,371,"185,347,123,514","103,737,391,165","81,609,732,349","58,155,241,864","2,013,732,639",9085,"23,154,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_3,27000000,396,"208,653,878,267","125,689,345,304","82,964,532,963","70,340,487,145","1,369,782,848",17476,"23,154,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_4,37500000,406,"202,669,010,822","115,317,942,877","87,351,067,945","249,732,039,131","5,224,613,001",13258,"23,184,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_1,10000000,404,"228,408,566,690","128,151,767,119","100,256,799,571","68,238,454,170","4,026,932,223",14880,"24,420,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_2,19000000,423,"260,965,957,544","153,930,703,748","107,035,253,796","100,277,438,066","4,543,641,750",20674,"24,577,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_3,30000000,434,"282,191,993,032","167,448,039,003","114,743,954,029","115,763,350,070","7,682,084,480",33144,"24,577,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017_4,37840500000,450,"265,476,272,977","142,171,412,625","123,304,860,352","403,019,915,789","20,639,184,241",40330,"24,577,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_1,12559000,445,"282,773,880,115","155,511,068,400","127,262,811,715","122,292,565,967","5,852,711,260",36807,"24,577,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_2,21843500,446,"315,617,757,319","180,283,116,001","135,334,641,318","134,300,871,020","6,738,890,195",46820,"24,752,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018_3,31596000,463,"338,213,582,232","197,108,555,009","141,105,027,223","130,004,047,733","5,916,846,722",40422,"24,757,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
