종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,분기,자산,부채,자본,매출액,액면가
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2020_3,6.57397E+11,1.434E+11,5.13997E+11,11384591850,50815
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2020_4,7.06477E+11,1.49048E+11,5.57429E+11,56177400696,48512
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2018_4,1.34748E+11,27149629451,1.07598E+11,1.20089E+11,0
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2019_1,2.19484E+11,25846159755,1.93638E+11,33606199879,69600
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2019_2,2.22397E+11,23032963306,1.99364E+11,33441442774,75900
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2019_3,2.2719E+11,22965164428,2.04225E+11,34587646002,64300
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2019_4,2.35237E+11,24633258680,2.10604E+11,1.35311E+11,62600
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2020_1,2.38639E+11,26691863170,2.11947E+11,38489142265,53000
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2020_2,2.31181E+11,21943069789,2.09238E+11,33702245712,92500
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2020_3,2.38558E+11,23689154704,2.14869E+11,38259885502,169800
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2020_4,2.60701E+11,36151209798,2.2455E+11,1.55491E+11,185400
에코프로,536541,86520,IT부품,160,화학,G151010,2016_2,3.19374E+11,1.58471E+11,1.60904E+11,39151843055,8370
에코프로,536541,86520,IT부품,160,화학,G151010,2016_3,2.96254E+11,1.26531E+11,1.69723E+11,44556156606,9333
에코프로,536541,86520,IT부품,160,화학,G151010,2016_4,3.46357E+11,1.72675E+11,1.73682E+11,1.70483E+11,7067
에코프로,536541,86520,IT부품,160,화학,G151010,2017_1,3.5726E+11,1.76771E+11,1.80489E+11,71642033363,9037
에코프로,536541,86520,IT부품,160,화학,G151010,2017_2,4.07553E+11,2.12942E+11,1.94611E+11,72631054579,13251
에코프로,536541,86520,IT부품,160,화학,G151010,2017_3,4.25549E+11,2.32893E+11,1.92656E+11,81328610808,22832
에코프로,536541,86520,IT부품,160,화학,G151010,2017_4,4.48146E+11,2.63741E+11,1.84405E+11,3.29012E+11,27181
에코프로,536541,86520,IT부품,160,화학,G151010,2018_1,4.87682E+11,3.01132E+11,1.8655E+11,1.2795E+11,27114
에코프로,536541,86520,IT부품,160,화학,G151010,2018_2,5.66084E+11,3.61424E+11,2.04659E+11,1.36171E+11,23070
에코프로,536541,86520,IT부품,160,화학,G151010,2018_3,6.11706E+11,3.93486E+11,2.18219E+11,1.7838E+11,29220
에코프로,536541,86520,IT부품,160,화학,G151010,2018_4,6.67515E+11,4.35654E+11,2.31861E+11,6.69407E+11,22832
에코프로,536541,86520,IT부품,160,화학,G151010,2019_1,8.51122E+11,4.36713E+11,4.1441E+11,1.96017E+11,18517
에코프로,536541,86520,IT부품,160,화학,G151010,2019_2,8.10427E+11,3.82315E+11,4.28112E+11,1.47584E+11,18755
에코프로,536541,86520,IT부품,160,화학,G151010,2019_3,8.4039E+11,4.01658E+11,4.38732E+11,1.69258E+11,12910
에코프로,536541,86520,IT부품,160,화학,G151010,2019_4,9.27835E+11,4.80854E+11,4.46981E+11,7.02273E+11,15323
에코프로,536541,86520,IT부품,160,화학,G151010,2020_1,9.56058E+11,5.10625E+11,4.45434E+11,1.78307E+11,12265
