name,symbol,stock_code,type,type_code,WICS,WICS_code,time,assets,dept,equity,income,real_income,price,stock_count,total_value
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_2,1.79E+14,1.05E+14,7.37E+13,2.43E+13,9.14E+11,159500,220276479,3.51E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_3,1.81E+14,1.07E+14,7.46E+13,2.42E+13,9.39E+11,149500,220276479,3.29E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2017_4,1.78E+14,1.03E+14,7.48E+13,9.64E+13,4.55E+12,150500,220276479,3.32E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2018_1,1.76E+14,1.01E+14,7.45E+13,2.24E+13,7.32E+11,144500,220276479,3.18E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2018_2,1.79E+14,1.04E+14,7.50E+13,2.47E+13,8.11E+11,125000,220276479,2.75E+13
기아,106641,270,운수장비,15,자동차,G251020,2015_4,4.60E+13,2.18E+13,2.42E+13,4.95E+13,2.63E+12,51700,405363347,2.10E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_1,4.83E+13,2.37E+13,2.46E+13,1.26E+13,9.45E+11,49100,405363347,1.99E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_2,4.94E+13,2.42E+13,2.53E+13,1.45E+13,8.26E+11,44000,405363347,1.78E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_3,4.79E+13,2.23E+13,2.56E+13,1.27E+13,6.64E+11,42500,405363347,1.72E+13
기아,106641,270,운수장비,15,자동차,G251020,2016_4,5.09E+13,2.43E+13,2.66E+13,5.27E+13,2.75E+12,39000,405363347,1.58E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_1,5.20E+13,2.56E+13,2.65E+13,1.28E+13,7.65E+11,36700,405363347,1.49E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_2,5.28E+13,2.57E+13,2.72E+13,1.36E+13,3.90E+11,38050,405363347,1.54E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_3,5.46E+13,2.76E+13,2.70E+13,1.41E+13,2.92E+11,31800,405363347,1.29E+13
기아,106641,270,운수장비,15,자동차,G251020,2017_4,5.23E+13,2.54E+13,2.69E+13,5.35E+13,9.68E+11,33000,405363347,1.34E+13
기아,106641,270,운수장비,15,자동차,G251020,2018_1,5.28E+13,2.58E+13,2.70E+13,1.26E+13,4.32E+11,31050,405363347,1.26E+13
기아,106641,270,운수장비,15,자동차,G251020,2018_2,5.27E+13,2.55E+13,2.72E+13,1.41E+13,3.32E+11,30850,405363347,1.25E+13
기아,106641,270,운수장비,15,자동차,G251020,2018_3,5.21E+13,2.47E+13,2.73E+13,1.41E+13,2.98E+11,35150,405363347,1.42E+13
기아,106641,270,운수장비,15,자동차,G251020,2018_4,5.18E+13,2.45E+13,2.72E+13,5.42E+13,1.16E+12,33450,405363347,1.36E+13
기아,106641,270,운수장비,15,자동차,G251020,2019_1,5.31E+13,2.55E+13,2.77E+13,1.24E+13,6.49E+11,35500,405363347,1.44E+13
기아,106641,270,운수장비,15,자동차,G251020,2019_2,5.45E+13,2.61E+13,2.84E+13,1.45E+13,5.05E+11,44000,405363347,1.78E+13
기아,106641,270,운수장비,15,자동차,G251020,2019_3,5.54E+13,2.67E+13,2.87E+13,1.51E+13,3.26E+11,45700,405363347,1.85E+13
기아,106641,270,운수장비,15,자동차,G251020,2019_4,5.53E+13,2.64E+13,2.90E+13,5.81E+13,1.83E+12,44100,405363347,1.79E+13
기아,106641,270,운수장비,15,자동차,G251020,2020_1,5.57E+13,2.69E+13,2.87E+13,1.46E+13,2.66E+11,25450,405363347,1.03E+13
기아,106641,270,운수장비,15,자동차,G251020,2020_2,5.83E+13,2.94E+13,2.89E+13,1.14E+13,1.26E+11,32600,405363347,1.32E+13
