종목,symbol,stock_code,업종,type_code,WICS,WICS_code,연도,자산,부채,자본,매출액,액면가
아모레퍼시픽,583424,90430,화학,8,화장품,G252065,2020,5.70E+12,1.24E+12,4.46E+12,4.43E+12,206500
S0Oil,138279,10950,화학,8,석유와 가스,G101020,2015,1.08E+13,5.41E+12,5.39E+12,1.79E+13,79500
S0Oil,138279,10950,화학,8,석유와 가스,G101020,2016,1.40E+13,7.57E+12,6.39E+12,1.63E+13,84300
S0Oil,138279,10950,화학,8,석유와 가스,G101020,2017,1.51E+13,8.24E+12,6.84E+12,2.09E+13,117000
S0Oil,138279,10950,화학,8,석유와 가스,G101020,2018,1.60E+13,9.49E+12,6.47E+12,2.55E+13,97300
S0Oil,138279,10950,화학,8,석유와 가스,G101020,2019,1.63E+13,9.84E+12,6.50E+12,2.44E+13,95100
S0Oil,138279,10950,화학,8,석유와 가스,G101020,2020,1.57E+13,1.00E+13,5.68E+12,1.68E+13,69700
케이티,190321,30200,통신업,20,다각화된 통신서비스,G501010,2015,2.93E+13,1.72E+13,1.22E+13,2.23E+13,28050
케이티,190321,30200,통신업,20,다각화된 통신서비스,G501010,2016,3.06E+13,1.78E+13,1.28E+13,2.27E+13,29400
케이티,190321,30200,통신업,20,다각화된 통신서비스,G501010,2017,2.96E+13,1.65E+13,1.31E+13,2.34E+13,30250
케이티,190321,30200,통신업,20,다각화된 통신서비스,G501010,2018,3.22E+13,1.75E+13,1.47E+13,2.35E+13,29700
케이티,190321,30200,통신업,20,다각화된 통신서비스,G501010,2019,3.41E+13,1.89E+13,1.52E+13,2.43E+13,26950
케이티,190321,30200,통신업,20,다각화된 통신서비스,G501010,2020,3.37E+13,1.81E+13,1.56E+13,2.39E+13,24050
SKC,139889,11790,화학,8,화학,G151010,2015,3.69E+12,2.13E+12,1.56E+12,2.56E+12,33550
SKC,139889,11790,화학,8,화학,G151010,2016,3.53E+12,2.00E+12,1.52E+12,2.36E+12,33000
SKC,139889,11790,화학,8,화학,G151010,2017,3.67E+12,2.07E+12,1.59E+12,2.65E+12,47650
SKC,139889,11790,화학,8,화학,G151010,2018,3.83E+12,2.14E+12,1.69E+12,2.77E+12,35950
SKC,139889,11790,화학,8,화학,G151010,2019,3.97E+12,2.25E+12,1.73E+12,2.54E+12,51300
SKC,139889,11790,화학,8,화학,G151010,2020,5.41E+12,3.49E+12,1.92E+12,2.70E+12,95800
에스케이바이오팜,878696,326030,서비스업,26,제약,G352020,2020,5.00E+11,1.21E+11,3.79E+11,25999026722,149500
LG이노텍,105961,11070,"전기,전자",13,전자장비와 기기,G452030,2015,3.91E+12,2.15E+12,1.77E+12,6.14E+12,98500
LG이노텍,105961,11070,"전기,전자",13,전자장비와 기기,G452030,2016,4.32E+12,2.55E+12,1.78E+12,5.75E+12,87400
LG이노텍,105961,11070,"전기,전자",13,전자장비와 기기,G452030,2017,5.88E+12,3.93E+12,1.95E+12,7.64E+12,147000
LG이노텍,105961,11070,"전기,전자",13,전자장비와 기기,G452030,2018,5.76E+12,3.64E+12,2.12E+12,7.98E+12,87200
LG이노텍,105961,11070,"전기,전자",13,전자장비와 기기,G452030,2019,5.77E+12,3.57E+12,2.20E+12,8.30E+12,140000
LG이노텍,105961,11070,"전기,전자",13,전자장비와 기기,G452030,2020,6.04E+12,3.61E+12,2.43E+12,9.54E+12,185500
LG디스플레이,105873,34220,"전기,전자",13,디스플레이 패널,G454010,2015,2.26E+13,9.87E+12,1.27E+13,2.84E+13,24500
LG디스플레이,105873,34220,"전기,전자",13,디스플레이 패널,G454010,2016,2.49E+13,1.14E+13,1.35E+13,2.65E+13,31200
LG디스플레이,105873,34220,"전기,전자",13,디스플레이 패널,G454010,2017,2.92E+13,1.42E+13,1.50E+13,2.78E+13,30050
LG디스플레이,105873,34220,"전기,전자",13,디스플레이 패널,G454010,2018,3.32E+13,1.83E+13,1.49E+13,2.43E+13,18100
LG디스플레이,105873,34220,"전기,전자",13,디스플레이 패널,G454010,2019,3.56E+13,2.31E+13,1.25E+13,2.35E+13,16450
LG디스플레이,105873,34220,"전기,전자",13,디스플레이 패널,G454010,2020,3.51E+13,2.23E+13,1.27E+13,2.42E+13,18850
한온시스템,161125,18880,기계,12,자동차부품,G251010,2015,3.46E+12,1.66E+12,1.80E+12,5.56E+12,10320
한온시스템,161125,18880,기계,12,자동차부품,G251010,2016,3.86E+12,1.97E+12,1.88E+12,5.70E+12,10200
한온시스템,161125,18880,기계,12,자동차부품,G251010,2017,4.12E+12,2.09E+12,2.03E+12,5.59E+12,13900
한온시스템,161125,18880,기계,12,자동차부품,G251010,2018,5.36E+12,3.22E+12,2.13E+12,5.94E+12,10800
한온시스템,161125,18880,기계,12,자동차부품,G251010,2019,7.08E+12,4.74E+12,2.34E+12,7.15E+12,11150
한온시스템,161125,18880,기계,12,자동차부품,G251010,2020,7.81E+12,5.57E+12,2.24E+12,6.87E+12,16250
롯데케미칼,165413,11170,화학,8,화학,G151010,2015,1.15E+13,3.91E+12,7.56E+12,1.17E+13,248000
롯데케미칼,165413,11170,화학,8,화학,G151010,2016,1.59E+13,6.47E+12,9.40E+12,1.32E+13,370000
롯데케미칼,165413,11170,화학,8,화학,G151010,2017,1.96E+13,7.30E+12,1.23E+13,1.59E+13,368000
롯데케미칼,165413,11170,화학,8,화학,G151010,2018,2.08E+13,7.25E+12,1.35E+13,1.65E+13,277500
